Index,Well.API,Field,Operator,Spud.Year,Max_Gas,Lat_Len,Vert_Len,Fluid,Proppant,ShalePlay
3842,3.14E+12,B-43,"Seeco, Llc",2010,633311,5453,3877,136795,4550126,Fayetteville
3843,3.14E+12,B-43,"Seeco, Llc",2010,671387,4069,4436,87379,3251952,Fayetteville
3844,3.14E+12,B-43,"Seeco, Llc",2010,589214,4118,4401,95267,3250000,Fayetteville
3845,3.14E+12,B-43,"Seeco, Llc",2010,920838,6319,4450,164431,5231272,Fayetteville
3846,3.14E+12,B-43,"Xto Energy, Inc.",2010,489824,4582,2490,157190,4806080,Fayetteville
3847,3.14E+12,B-43,"Xto Energy, Inc.",2010,439199,4562,2170,128066,3525420,Fayetteville
3848,3.14E+12,B-43,"Seeco, Llc",2010,621686,4214,4624,106479,3622648,Fayetteville
3849,3.14E+12,B-43,"Seeco, Llc",2010,579716,3971,4654,92661,3294235,Fayetteville
3850,3.14E+12,B-43,"Seeco, Llc",2010,741542,4022,4421,89839,3248610,Fayetteville
3851,3.14E+12,B-43,"Seeco, Llc",2010,308486,3481,2724,90913,2931600,Fayetteville
3852,3.14E+12,B-43,"Seeco, Llc",2010,203562,3301,2694,89623,2929105,Fayetteville
3853,3.14E+12,B-43,"Seeco, Llc",2010,162045,3122,2685,85220,2599297,Fayetteville
3854,3.14E+12,B-43,"Seeco, Llc",2010,319999,4231,2760,64176,2268008,Fayetteville
3855,3.14E+12,B-43,"Seeco, Llc",2010,667822,3005,2358,75719,2599859,Fayetteville
3856,3.14E+12,B-43,"Seeco, Llc",2010,530506,2756,2294,64949,2278098,Fayetteville
3857,3.14E+12,B-43,"Seeco, Llc",2010,542777,3200,2710,73393,2602997,Fayetteville
3858,3.14E+12,B-43,"Seeco, Llc",2010,727614,3880,2370,86226,3129088,Fayetteville
3859,3.14E+12,B-43,"Seeco, Llc",2010,315103,4430,2738,99160,3576415,Fayetteville
3860,3.14E+12,B-43,"Seeco, Llc",2010,174405,4468,2867,57444,2014571,Fayetteville
3861,3.14E+12,B-43,"Seeco, Llc",2010,102214,4591,2644,87894,2423386,Fayetteville
3862,3.14E+12,B-43,"Seeco, Llc",2010,344544,3081,2978,79984,2602025,Fayetteville
3863,3.14E+12,B-43,"Seeco, Llc",2010,517695,4781,2682,121320,3907633,Fayetteville
3864,3.14E+12,B-43,"Seeco, Llc",2010,513391,4722,2625,117260,3912837,Fayetteville
3865,3.14E+12,B-43,"Seeco, Llc",2010,535934,4604,2650,117391,3913670,Fayetteville
3866,3.14E+12,B-43,"Seeco, Llc",2010,574104,4600,2640,119241,3899413,Fayetteville
3867,3.14E+12,B-43,"Seeco, Llc",2010,525597,4840,2627,119780,3894138,Fayetteville
3868,3.14E+12,B-43,"Bhp Billiton Petroleum (fayetteville), Llc",2010,771291,6170,3811,153667,6619590,Fayetteville
3869,3.14E+12,B-43,"Seeco, Llc",2010,738688,4020,2323,8250,3255397,Fayetteville
3870,3.14E+12,B-43,"Seeco, Llc",2010,835224,3566,3831,45771,1625000,Fayetteville
3871,3.14E+12,B-43,"Seeco, Llc",2010,897719,3742,3856,78572,2925350,Fayetteville
3872,3.14E+12,B-43,"Seeco, Llc",2010,715152,3715,3608,84017,3130717,Fayetteville
3873,3.14E+12,B-43,"Seeco, Llc",2010,653752,4165,3460,87436,3229573,Fayetteville
3874,3.14E+12,B-43,"Seeco, Llc",2010,959122,6974,4067,146605,5460000,Fayetteville
3875,3.14E+12,B-43,"Seeco, Llc",2010,438634,4604,4136,106925,3899656,Fayetteville
3876,3.14E+12,B-43,"Seeco, Llc",2010,1015454,5124,3702,113459,4225000,Fayetteville
3877,3.14E+12,B-43,"Seeco, Llc",2010,998766,4956,3744,60158,16274044,Fayetteville
3878,3.14E+12,B-43,"Seeco, Llc",2010,1040805,4840,3744,101914,3907517,Fayetteville
3879,3.14E+12,B-43,"Seeco, Llc",2010,589178,3381,4892,73130,2694932,Fayetteville
3880,3.14E+12,B-43,"Seeco, Llc",2010,336948,5058,2672,125384,4203645,Fayetteville
3881,3.14E+12,B-43,"Seeco, Llc",2010,203139,3434,2866,40046,1218494,Fayetteville
3882,3.14E+12,B-43,"Seeco, Llc",2010,970895,8402,4523,212284,7015910,Fayetteville
3883,3.14E+12,B-43,"Seeco, Llc",2010,874205,5031,4369,117929,4303528,Fayetteville
3884,3.14E+12,B-43,"Seeco, Llc",2010,812886,5898,4506,131788,4680363,Fayetteville
3885,3.14E+12,B-43,"Seeco, Llc",2010,500025,4781,3132,108451,3915764,Fayetteville
3886,3.14E+12,B-43,"Seeco, Llc",2010,388473,4538,4419,100509,3578882,Fayetteville
3887,3.14E+12,B-43,"Bhp Billiton Petroleum (fayetteville), Llc",2010,318300,3749,2050,80223,4533620,Fayetteville
3888,3.14E+12,B-43,"Seeco, Llc",2011,688929,5397,3963,93127,3216819,Fayetteville
3889,3.14E+12,B-43,"Seeco, Llc",2011,747658,6316,4251,113976,3802209,Fayetteville
